,IDrts,IDR,Username,Date,Retweet,Hashtags,RT,SA,Float
0,1092677782125989888,1092861514405400576,n42if,2019-02-05 19:04:24,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092854587608883200,1092860599346724864,MelatiJayagiri0,2019-02-05 19:00:45,RT Rocky Gerung Kutip Surah Al Baqarah sebagai Dalil Akal Sehat Ayat ini Rocky Gerung jadikan sebagai dalil utama akal seh,,1,Negatif,0.3577372431755066
0,1090302140944244736,1092860253228523520,BebAyu28,2019-02-05 18:59:23,RT Pak di acara episode ILCUstadzBaasyir live dari Surabaya Selasa Januari NoRockyNoParty NoR,ILCUstadzBaasyir NoRockyNoParty ,9,Negatif,0.0014363436494022608
0,1092446541363769344,1092860080146370560,XDonFlamingo,2019-02-05 18:58:42,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092843595919486977,1092859596677382144,sankohasan,2019-02-05 18:56:46,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092780478376009730,1092858831799967744,Alfian55956805,2019-02-05 18:53:44,RT Kalo untuk kubu mereka dan simpatisannya apa sih yg ngga boleh bang Mau tdk sesuai kode etik tdk sesuai atu,,8,Positif,0.9172185063362122
0,1092851834169872384,1092858520461103106,hanasuryani78,2019-02-05 18:52:30,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1092856957885591552,1092857675317010432,hanasuryani78,2019-02-05 18:49:08,RT Sandiaga Akui Gunakan Ribuan Konsultan Kami mendapatkan masukan itu justru dari yang sudah kami kunjungi di seluruh,,2,Positif,0.9893340468406677
0,1092856957885591552,1092857539119636480,as_nst99,2019-02-05 18:48:36,RT Sandiaga Akui Gunakan Ribuan Konsultan Kami mendapatkan masukan itu justru dari yang sudah kami kunjungi di seluruh,,2,Positif,0.9893340468406677
0,1092851834169872384,1092857248827695104,Robotu71,2019-02-05 18:47:27,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1077016903678275584,1092857049568833536,RnNgk,2019-02-05 18:46:39,RT Bandara sudah Freeport sudah Jalan tol sudah Catatan dari semua itu kebanyakan menggunakan HUTANG apakah akan me,,344,Positif,0.9047164916992188
0,1092853327321227264,1092856796715266048,abyalif74_noni,2019-02-05 18:45:39,RT Survei Internal Prabowo Sandi Menang Persen Survei internal tim Prabowo Sandi pasangan calon nomor urut sudah meng,,4,Netral,0.5451328754425049
0,1092851834169872384,1092856425431351297,VisionGlobal18,2019-02-05 18:44:10,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1092446541363769344,1092855691818106880,IslamSyukur,2019-02-05 18:41:15,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092853327321227264,1092854718643093504,SssPujono,2019-02-05 18:37:23,RT Survei Internal Prabowo Sandi Menang Persen Survei internal tim Prabowo Sandi pasangan calon nomor urut sudah meng,,4,Netral,0.5451328754425049
0,1092843595919486977,1092854670391795712,bandorobrojo,2019-02-05 18:37:12,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092853327321227264,1092853927152742400,MentelRevolusi,2019-02-05 18:34:15,RT Survei Internal Prabowo Sandi Menang Persen Survei internal tim Prabowo Sandi pasangan calon nomor urut sudah meng,,4,Netral,0.5451328754425049
0,1078485047122907136,1092853684629721088,Jimy36216561,2019-02-05 18:33:17,RT Morowali Sulawesi Tengah dikenal sebagai Ghuang Zhou nya Indonesia karena banyaknya TKA asal China disana Mereka bek,,1322,Positif,0.9741834402084351
0,1092851834169872384,1092853117601730561,abyalif74_noni,2019-02-05 18:31:02,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1092851834169872384,1092852841503322112,SssPujono,2019-02-05 18:29:56,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1092851834169872384,1092852674213474304,mucry_singh,2019-02-05 18:29:16,RT Tanggapi Sindiran Jokowi Sandi Konsultan Kami adalah Rakyat Apa yg disampaikan oleh pengusaha batik itu adalah konsultan,,7,Positif,0.9651572108268738
0,1092677782125989888,1092852612548816896,sankohasan,2019-02-05 18:29:01,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092391557422956545,1092852595025014784,IkhsanNaibaho,2019-02-05 18:28:57,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092074616271429634,1092852583113228288,IkhsanNaibaho,2019-02-05 18:28:54,RT Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru,,472,Positif,0.860170841217041
0,1091708561791496192,1092852562808557568,IkhsanNaibaho,2019-02-05 18:28:49,RT Apakah statement Immanuel Ebenezer dalam inews pagi Januari termasuk fitnah terhadap PA Setelah vote tolong,,133,Positif,0.7973159551620483
0,1092391557422956545,1092851913677328385,zainalpwk,2019-02-05 18:26:15,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092849234813046784,1092851089127309312,al_fatih2010,2019-02-05 18:22:58,RT Alasan GNPF Ulama Dukung PKS Lebih Serius Dibanding Partai Lain AyoLebihBaik,AyoLebihBaik 2019PilihPKS ,3,Negatif,0.2515981197357178
0,1092432338942902273,1092849944023560192,DavidMacho16,2019-02-05 18:18:25,RT Mantul cik koh ht,2019PRABOWOPRESIDEN 2019GANTIPRESIDEN 2019PrabowoSandi 2019PrabowoPresiden ,144,Positif,0.7787083983421326
0,1092838813695504389,1092849906249719813,bengkeldodo,2019-02-05 18:18:16,RT Smackqueen yaqueen ganti presiden,2019gantipresiden ,1,Negatif,0.04866809397935867
0,1092607177179578370,1092849889283694592,FERRYIR08912826,2019-02-05 18:18:12,RT Kuis hadiah Kaos kerjsm amp Jakarta Syarat Follow amp,2019GantiPresiden ,53,Negatif,0.06426514685153961
0,1092841141320335360,1092849733196890112,jamalkieraha71,2019-02-05 18:17:35,RT bro Kok sepi berita Dari partai apa bro TENGGE,Koruptor5Koma8Triliun Koruptor5Koma8Triliun ,4,Negatif,0.1242101639509201
0,1092446541363769344,1092849501985861633,Syamsud41732201,2019-02-05 18:16:40,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092824427601965057,1092848941236768768,ifa_retifa,2019-02-05 18:14:26,RT Kena hantam sama RG telah banget DIPERMALUKAN yang ga ada isinya jangan diundang,,3,Positif,0.9023820161819458
0,1092564163652550656,1092848095019188224,GucciMargaku,2019-02-05 18:11:04,RT Kode Keras dari Habib Bahar Smith Salam Akal Sehat,2019GantiPresiden 2019PrabowoPresidenRI ,162,Negatif,0.23900867998600006
0,1092847508340920320,1092847776466034693,RafiLutvi,2019-02-05 18:09:48,RT,,1,Positif,0.7787083983421326
0,1092843595919486977,1092847612074569728,toranaga3000,2019-02-05 18:09:09,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092841141320335360,1092847477827334144,tuanmarajo,2019-02-05 18:08:37,RT bro Kok sepi berita Dari partai apa bro TENGGE,Koruptor5Koma8Triliun Koruptor5Koma8Triliun ,4,Negatif,0.1242101639509201
0,1092841141320335360,1092847203498872832,RWahyudisyah,2019-02-05 18:07:32,RT bro Kok sepi berita Dari partai apa bro TENGGE,Koruptor5Koma8Triliun Koruptor5Koma8Triliun ,4,Negatif,0.1242101639509201
0,1092841141320335360,1092846622591963136,endrasanjay,2019-02-05 18:05:13,RT bro Kok sepi berita Dari partai apa bro TENGGE,Koruptor5Koma8Triliun Koruptor5Koma8Triliun ,4,Negatif,0.1242101639509201
0,1092712764584321024,1092846211676102657,AndrianaArry,2019-02-05 18:03:35,RT Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolaka,Pilpres2019 ,59,Positif,0.7605409026145935
0,1092843595919486977,1092845235749543936,al_fatih2010,2019-02-05 17:59:42,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092564163652550656,1092845231865614336,Ingin_Bersuara,2019-02-05 17:59:42,RT Kode Keras dari Habib Bahar Smith Salam Akal Sehat,2019GantiPresiden 2019PrabowoPresidenRI ,162,Negatif,0.23900867998600006
0,1092843595919486977,1092844739886338048,Jabalakbar,2019-02-05 17:57:44,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092843595919486977,1092844290735128576,MohArifWidarto,2019-02-05 17:55:57,RT Jubir BPN Prabowo Sandi Bahaya Jika Pejabat Publik Anggap Uang Negara Milik Penguasa AyoLebihBaik,AyoLebihBaik ,9,Positif,0.9796177744865417
0,1092104344978186241,1092842404682452993,Djoe_djoe123,2019-02-05 17:48:27,RT Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan,,873,Positif,0.8679341673851013
0,1092822870701436928,1092841771162365952,VisionGlobal18,2019-02-05 17:45:56,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092822870701436928,1092841091873685504,chaidar_2000,2019-02-05 17:43:14,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092822870701436928,1092840454670843904,wn_didin,2019-02-05 17:40:43,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092712764584321024,1092839267557040128,WANTED31916760,2019-02-05 17:36:00,RT Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolaka,Pilpres2019 ,59,Positif,0.7605409026145935
0,1092312826750746624,1092838793202196480,Jenaka91172952,2019-02-05 17:34:06,RT Salam akal Sehat Yg akal miring jgn marah yah Team hore nya,2019GantiPresiden ,0,Positif,0.9663668274879456
0,1092834676639580161,1092838743361445893,toranaga3000,2019-02-05 17:33:55,RT Dengar Lagu Nissa Sabyan Sandi Saya Sangat Terhanyut dan Tergetar,,5,Positif,0.9909713268280029
0,1090262434357534720,1092838498795540480,Jenaka91172952,2019-02-05 17:32:56,RT Si tukang lapor haha mau jadiin target slow aja prof dia cebong AhmadDhaniKorbanRezim,AhmadDhaniKorbanRezim ,20,Negatif,0.3260617256164551
0,1092831897762160640,1092838412237729792,WongWongSukses,2019-02-05 17:32:36,RT Jika ingin seperti kata pak Harto maka pilih PrabowoSandiUntukIndonesia,PrabowoSandiUntukIndonesia 2019GantiPresiden ,2,Negatif,0.04026760160923004
0,1091260622749102080,1092838293350146048,TeamMacan,2019-02-05 17:32:07,RT,,6,Positif,0.7787083983421326
0,1091242661653016576,1092838278582099968,TeamMacan,2019-02-05 17:32:04,RT,,7,Positif,0.7787083983421326
0,1092830395446390785,1092838186324086784,acengulu,2019-02-05 17:31:42,RT Yg dukung Jokowi Ahok jadi bisa maju jadi Cagub Cawagub di Jakarta siape Dul Yaelaah ubin bengkel Lic,,1,Positif,0.9003913998603821
0,1090302140944244736,1092838052001529857,Jenaka91172952,2019-02-05 17:31:10,RT Pak di acara episode ILCUstadzBaasyir live dari Surabaya Selasa Januari NoRockyNoParty NoR,ILCUstadzBaasyir NoRockyNoParty ,9,Negatif,0.0014363436494022608
